Occupation Code,Occupation Title,Active Learning,Active Listening,Complex Problem Solving,Coordination,Critical Thinking,Equipment Maintenance,Equipment Selection,Installation,Instructing,Judgment and Decision Making,Learning Strategies,Management of Financial Resources,Management of Material Resources,Management of Personnel Resources,Mathematics,Monitoring,Negotiation,Operation and Control,Operations Analysis,Operations Monitoring,Persuasion,Programming,Quality Control Analysis,Reading Comprehension,Repairing,Science,Service Orientation,Social Perceptiveness,Speaking,Systems Analysis,Systems Evaluation,Technology Design,Time Management,Troubleshooting,Writing
11-3051,Industrial Production Managers,3.455,3.855,3.6233333333333335,3.7283333333333335,3.8966666666666665,2.1683333333333334,1.9766666666666666,1.0416666666666667,3.25,3.813333333333333,3.3533333333333335,3.0833333333333335,2.9983333333333335,3.688333333333333,3.1666666666666665,3.8783333333333334,3.063333333333333,2.98,2.3316666666666666,3.23,3.145,1.8733333333333333,3.205,3.9,2.061666666666667,2.5,3.043333333333333,3.355,3.9166666666666665,3.395,3.313333333333333,1.8533333333333335,3.645,2.6466666666666665,3.5
11-3061,Purchasing Managers,3.25,4.0,3.5,3.75,3.75,1.0,1.0,1.0,3.38,3.75,3.0,3.25,3.25,4.0,3.12,3.88,3.88,1.0,2.62,2.0,3.62,1.88,2.12,3.88,1.0,1.0,3.5,3.88,4.0,3.5,3.12,1.88,3.88,2.0,3.88
11-3071,Transportation — Storage — and Distribution Managers,3.685,3.94,3.75,3.875,3.75,1.06,1.06,1.06,3.37,3.75,3.19,2.88,3.375,3.315,2.875,3.875,3.685,1.44,2.31,2.435,3.56,1.685,2.25,3.94,1.0,1.06,3.185,3.5,3.81,3.685,3.69,1.935,3.81,1.75,3.75
11-3111,Compensation and Benefits Managers,3.75,4.0,3.38,3.12,3.88,1.0,1.0,1.0,3.0,3.88,3.0,3.25,1.88,3.62,3.0,3.38,3.12,1.0,2.75,1.5,3.0,1.75,1.5,4.0,1.0,1.0,3.12,3.5,4.0,3.25,3.25,1.5,3.62,1.0,4.0
11-3121,Human Resources Managers,4.0,4.38,4.0,4.12,4.0,1.0,1.0,1.0,3.88,4.0,3.75,3.12,2.38,4.25,3.0,4.0,3.88,1.25,2.38,1.5,3.75,2.0,1.62,4.25,1.0,1.5,3.75,4.0,4.25,3.62,3.88,1.5,4.0,1.0,4.12
11-3131,Training and Development Managers,3.75,4.0,3.62,3.88,3.75,1.0,1.0,1.0,4.0,3.62,4.25,3.62,2.88,3.5,2.88,3.88,3.0,1.0,3.0,1.75,3.62,1.5,2.0,4.0,1.0,1.5,3.62,3.88,4.0,3.12,3.25,1.75,3.5,1.0,3.88
11-9013,Farmers — Ranchers — and Other Agricultural Managers,3.38,3.88,3.62,3.5,3.88,2.5,2.38,1.0,2.88,3.5,2.88,3.0,2.88,3.62,2.88,3.38,3.12,2.62,2.12,3.12,3.12,1.88,2.88,3.75,2.38,2.62,2.88,3.38,3.62,3.0,3.0,1.88,3.38,2.5,3.25
11-9021,Construction Managers,3.88,4.0,4.0,4.0,4.0,1.62,1.62,1.0,3.12,4.12,3.12,3.62,3.38,4.12,3.5,3.88,3.88,2.0,3.0,2.75,3.12,1.5,3.25,3.88,1.62,2.12,3.12,3.5,3.88,3.62,3.5,1.75,4.0,2.25,3.75
11-9031,Education and Childcare Administrators — Preschool and Daycare,3.5,4.0,3.88,4.0,4.0,1.0,1.0,1.0,3.88,3.88,3.62,3.12,3.12,3.75,2.88,4.0,3.62,1.5,1.88,1.75,3.38,1.5,2.0,4.0,1.0,1.5,3.88,3.88,4.0,3.12,3.12,1.62,3.75,1.88,3.75
11-9032,Education Administrators — Kindergarten through Secondary,4.0,4.75,4.12,4.0,4.5,1.0,1.12,1.0,4.0,4.62,4.62,3.62,3.25,4.12,3.0,4.25,4.0,1.38,2.75,2.0,3.75,1.62,3.0,4.5,1.0,1.88,3.88,4.25,4.88,3.75,4.12,1.75,3.88,1.62,4.5
11-9033,Education Administrators — Postsecondary,3.88,4.0,3.88,3.62,4.12,1.0,1.0,1.0,4.0,3.88,3.75,3.12,2.88,3.75,2.88,4.0,3.62,1.0,1.62,2.0,3.62,1.38,1.38,4.12,1.0,1.5,3.5,3.75,4.0,3.25,3.25,1.62,4.0,1.0,4.0
11-9041,Architectural and Engineering Managers,3.565,3.75,3.81,3.5,3.75,1.435,1.625,1.06,3.125,3.75,3.065,2.44,2.44,3.185,3.5,3.5,3.0,1.875,2.38,2.75,3.06,1.94,3.06,3.87,1.375,2.87,3.065,3.19,3.81,3.37,3.25,2.0,3.565,2.0,3.81
11-9051,Food Service Managers,3.12,3.88,3.0,3.88,3.62,1.88,1.75,1.0,3.12,3.12,3.12,3.0,3.0,3.88,2.88,3.88,3.12,2.0,2.5,2.62,3.0,1.5,2.88,3.75,1.75,1.62,3.75,3.62,3.88,3.0,3.0,1.25,3.5,2.0,3.0
11-9071,Gambling Managers,3.5,3.75,3.75,3.75,4.0,1.0,1.0,1.0,3.5,3.75,3.25,2.62,2.75,4.0,3.12,3.88,3.25,1.38,2.0,2.12,3.5,1.75,2.62,3.5,1.0,1.62,3.75,3.75,3.88,3.12,3.12,1.5,3.75,1.75,3.62
11-9072,Entertainment and Recreation Managers — Except Gambling,3.38,3.88,3.25,3.75,3.75,1.0,1.0,1.0,3.5,3.62,3.12,2.88,2.75,3.12,2.38,3.5,3.12,1.62,1.88,2.12,3.12,1.25,2.0,3.75,1.0,1.25,3.75,3.75,3.88,2.75,3.12,1.38,3.5,1.5,3.62
11-9081,Lodging Managers,3.75,4.12,3.75,3.88,3.75,1.38,1.38,1.0,3.75,3.75,3.38,2.88,3.0,4.0,2.62,3.75,3.88,2.12,1.75,2.38,3.75,1.62,2.62,3.88,1.38,1.0,4.12,4.0,4.0,3.12,3.38,1.88,3.75,1.88,3.88
11-9111,Medical and Health Services Managers,3.88,4.0,4.0,3.88,4.12,1.0,1.0,1.0,3.88,4.0,3.25,3.25,3.25,4.0,2.75,4.0,3.88,1.0,3.62,2.0,3.88,2.0,2.12,4.0,1.0,2.5,3.75,4.0,4.12,3.62,3.75,2.0,4.0,1.62,4.0
11-9121,Natural Sciences Managers,3.3766666666666665,4.0,3.75,3.5033333333333334,3.9166666666666665,1.0,1.08,1.0,3.1233333333333335,3.75,3.2466666666666666,2.3733333333333335,2.54,3.2900000000000005,3.0833333333333335,3.6233333333333335,3.0,1.7466666666666668,2.5833333333333335,2.25,3.1233333333333335,1.7933333333333332,2.29,4.0,1.0,3.3733333333333335,3.0,3.3333333333333335,3.92,3.25,3.206666666666667,2.04,3.5,1.7533333333333332,3.9599999999999995
11-9131,Postmasters and Mail Superintendents,3.25,4.0,3.12,4.0,3.75,1.0,1.0,1.0,3.25,3.25,3.38,2.75,2.75,3.88,2.75,3.75,3.62,1.62,2.5,2.5,3.25,1.75,2.25,4.0,1.0,1.5,3.38,4.0,4.0,3.0,2.88,1.88,4.0,2.0,3.25
11-9141,Property — Real Estate — and Community Association Managers,3.0,3.75,3.12,3.62,3.5,1.0,1.12,1.0,2.75,3.12,2.75,3.0,2.88,3.12,3.0,3.12,3.5,1.5,2.12,1.75,3.25,1.5,2.0,3.88,1.0,1.38,3.0,3.25,4.0,2.12,2.12,1.25,3.0,1.62,3.62
11-9151,Social and Community Service Managers,3.88,3.88,3.88,3.88,3.88,1.0,1.0,1.0,3.5,3.88,3.62,2.62,2.38,3.88,2.62,3.88,3.25,2.0,2.62,2.12,3.25,1.75,2.0,3.75,1.0,2.25,4.0,4.0,3.75,3.75,3.75,1.88,3.88,1.5,3.75
11-9161,Emergency Management Directors,3.75,4.0,4.12,4.0,4.0,1.0,1.0,1.0,3.75,4.0,3.88,2.62,2.75,3.5,3.0,4.0,3.38,1.75,3.12,2.12,3.62,1.5,2.25,4.0,1.0,1.88,4.25,4.0,4.12,3.62,3.5,1.5,3.75,1.5,4.0
11-9171,Funeral Home Managers,2.88,3.88,3.25,3.38,3.5,1.0,1.12,1.0,3.0,3.5,2.88,2.62,2.62,3.5,2.62,3.38,3.12,2.0,1.38,2.12,3.12,1.5,2.12,3.62,1.0,1.5,4.0,3.88,3.5,2.5,2.5,1.62,3.62,1.75,3.12
11-9179,Fitness and Wellness Coordinators,3.44,3.75,3.25,3.875,3.75,1.25,1.63,1.0,3.44,3.5,3.38,2.935,2.94,3.69,2.435,3.69,3.125,1.81,1.81,2.185,3.375,1.44,2.375,3.5,1.06,1.435,3.815,3.815,3.94,3.25,3.185,1.94,3.435,1.875,3.31
11-9199,Regulatory Affairs Managers,3.438333333333333,3.918333333333333,3.605,3.685,3.94,1.2066666666666668,1.3333333333333333,1.0,3.2516666666666665,3.688333333333333,3.0416666666666665,2.561666666666667,2.481666666666667,3.2083333333333335,2.811666666666667,3.7716666666666665,3.27,1.8133333333333332,2.3333333333333335,2.415,3.393333333333333,1.75,2.3333333333333335,3.98,1.1866666666666668,1.9183333333333332,3.0233333333333334,3.4783333333333335,3.94,3.355,3.3733333333333335,1.7700000000000002,3.438333333333333,1.75,3.8983333333333334
13-1011,Agents and Business Managers of Artists — Performers — and Athletes,3.5,4.0,3.38,3.75,3.75,1.0,1.0,1.0,2.88,3.12,2.62,1.88,1.5,2.88,2.12,2.88,4.0,1.25,1.75,1.25,4.0,1.5,1.0,4.0,1.0,1.62,3.0,3.88,4.0,2.5,2.5,1.38,3.75,1.0,3.62
13-1021,Buyers and Purchasing Agents — Farm Products,3.12,3.75,3.25,3.12,3.88,1.0,1.0,1.0,2.5,3.38,2.5,2.75,2.88,3.0,3.0,3.12,3.38,1.88,1.88,2.25,3.38,1.5,2.25,3.38,1.12,1.62,3.0,3.12,3.88,3.0,2.62,1.75,3.12,1.62,3.12
13-1022,Wholesale and Retail Buyers — Except Farm Products,3.38,3.75,3.25,3.12,3.75,1.0,1.0,1.0,3.0,3.38,2.88,3.25,2.88,2.75,3.12,3.12,4.0,1.38,2.12,1.75,3.75,1.75,2.25,3.25,1.0,1.75,3.12,3.25,3.75,2.62,3.0,1.62,3.0,1.0,3.0
13-1023,Purchasing Agents — Except Wholesale — Retail — and Farm Products,3.88,4.0,4.0,3.0,3.88,1.0,1.0,1.0,3.25,3.88,3.0,3.75,3.25,3.12,3.0,3.75,4.25,1.0,2.5,2.0,3.75,1.5,2.38,4.12,1.0,1.12,3.12,3.25,4.0,2.88,3.0,1.75,3.25,1.62,4.0
13-1031,Claims Adjusters — Examiners — and Investigators,3.25,4.0,3.5,3.25,4.0,1.0,1.12,1.0,2.5,3.75,2.5,2.12,1.75,2.75,2.88,3.38,3.12,1.12,1.5,1.88,2.88,2.12,2.62,4.12,1.0,1.38,3.12,3.38,3.88,3.0,2.88,1.75,3.0,1.62,3.62
13-1032,Insurance Appraisers — Auto Damage,2.88,3.5,2.88,2.88,3.38,1.5,1.5,1.0,2.25,3.12,2.12,2.0,1.5,2.38,2.62,2.5,2.88,2.0,1.88,2.38,2.88,1.25,2.38,3.5,1.62,1.12,3.0,3.0,3.75,2.38,2.38,1.38,3.25,2.12,3.75
13-1041,Compliance Officers,3.4114285714285715,3.9828571428571427,3.59,3.212857142857143,3.892857142857143,1.0171428571428571,1.1242857142857143,1.0,2.9828571428571427,3.607142857142857,3.0171428571428573,1.8385714285714287,1.9114285714285713,2.6785714285714284,2.66,3.3771428571428572,2.962857142857143,1.7142857142857142,1.8914285714285715,2.3042857142857143,2.9642857142857144,1.7328571428571427,2.2471428571428573,3.9828571428571427,1.0,1.947142857142857,3.087142857142857,3.447142857142857,3.947142857142857,3.1242857142857146,3.0014285714285713,1.6614285714285713,3.16,1.4100000000000001,3.84
13-1051,Cost Estimators,3.25,3.75,3.38,3.12,3.75,1.0,1.12,1.0,2.75,3.62,2.88,3.12,2.75,2.5,4.0,3.0,3.0,1.0,2.5,1.5,3.0,1.5,1.38,4.0,1.0,1.38,2.75,3.12,3.88,3.0,3.0,1.5,3.0,1.0,3.5
13-1071,Human Resources Specialists,3.25,4.0,3.12,3.0,3.88,1.0,1.0,1.0,3.12,3.25,3.0,1.88,1.88,2.88,2.0,3.0,3.0,1.12,1.25,1.5,2.88,1.62,1.75,4.0,1.0,1.12,3.38,3.38,4.12,2.88,2.38,1.75,3.0,1.0,3.88
13-1074,Farm Labor Contractors,2.38,3.38,2.75,3.0,3.0,1.0,1.12,1.0,2.62,3.0,2.25,1.88,1.88,3.25,2.12,2.75,2.75,2.5,1.25,2.38,2.62,1.38,1.75,2.75,1.0,1.25,2.62,3.0,3.5,2.12,1.88,1.0,3.12,1.75,2.75
13-1075,Labor Relations Specialists,3.5,4.38,3.62,3.38,4.0,1.0,1.0,1.0,3.0,3.62,3.0,2.0,1.75,2.88,2.38,3.38,4.12,1.12,1.75,1.5,3.88,1.25,1.12,4.0,1.0,1.0,3.38,3.75,4.25,3.12,3.12,1.38,3.38,1.0,4.0
13-1081,Logisticians,3.5400000000000005,3.92,3.9166666666666665,3.3766666666666665,3.9599999999999995,1.04,1.2933333333333332,1.0,3.0,3.7466666666666666,2.956666666666667,2.706666666666667,2.75,3.0833333333333335,3.3333333333333335,3.67,3.0033333333333334,1.29,2.9966666666666666,2.2066666666666666,3.043333333333333,2.21,2.4166666666666665,3.9599999999999995,1.04,2.04,3.0833333333333335,3.206666666666667,3.8366666666666664,3.956666666666667,3.706666666666667,2.0833333333333335,3.5033333333333334,1.54,3.6266666666666665
13-1111,Management Analysts,3.25,4.12,4.0,3.88,4.12,1.0,1.12,1.0,3.25,4.0,3.0,2.25,2.25,3.0,3.0,3.88,3.12,1.38,3.0,1.75,3.5,1.88,1.75,4.12,1.0,1.88,3.25,3.88,4.0,3.75,3.88,2.12,3.25,1.25,4.0
13-1121,Meeting — Convention — and Event Planners,3.38,4.0,3.62,3.88,3.88,1.62,1.75,1.0,3.0,3.62,2.38,3.0,2.88,3.25,2.5,3.5,3.38,2.0,2.75,2.0,3.5,1.38,2.25,4.0,1.75,1.25,3.88,3.88,4.0,3.25,3.12,1.75,3.75,1.75,3.5
13-1131,Fundraisers,3.25,4.0,3.25,3.75,3.88,1.0,1.12,1.0,3.0,3.38,2.88,3.0,2.12,2.75,3.0,3.12,3.88,1.62,2.0,1.62,4.0,1.5,1.5,4.0,1.0,1.38,3.5,3.62,4.12,3.12,3.12,1.75,3.0,1.0,4.0
13-1141,Compensation — Benefits — and Job Analysis Specialists,3.38,3.88,3.12,3.0,3.75,1.0,1.0,1.0,2.88,3.12,2.88,2.0,1.75,2.88,3.12,3.12,3.0,1.0,2.5,1.5,3.0,1.62,1.38,3.88,1.0,1.88,3.0,3.0,3.88,3.12,3.12,1.5,3.0,1.0,3.38
13-1151,Training and Development Specialists,3.88,4.0,3.25,3.75,3.88,1.0,1.12,1.0,4.38,3.88,4.12,2.25,2.25,3.12,2.38,3.88,3.12,1.12,3.12,2.0,3.12,1.5,1.88,3.88,1.0,1.62,3.62,4.0,4.38,3.12,3.38,1.88,3.62,1.0,3.88
13-1161,Market Research Analysts and Marketing Specialists,3.625,3.815,3.88,3.125,3.875,1.0,1.0,1.0,2.935,3.685,2.94,1.935,1.875,2.685,3.0,3.315,2.81,1.0,2.5,2.0,3.185,2.435,1.75,3.94,1.0,1.75,2.94,3.06,3.75,3.25,3.25,2.0,3.06,1.06,3.75
13-1199,Business Continuity Planners,3.3449999999999998,3.9050000000000002,3.6225,3.4375,3.875,1.095,1.3425,1.215,2.9699999999999998,3.7175000000000002,2.9375,2.5,2.4074999999999998,2.9050000000000002,2.815,3.465,3.09,1.405,2.5625,2.1550000000000002,3.25,2.0324999999999998,2.2475,3.875,1.1575,1.5,3.19,3.2800000000000002,3.875,3.34,3.3725,1.875,3.1275,1.56,3.75
13-2011,Accountants and Auditors,3.12,3.75,3.38,3.25,3.75,1.0,1.25,1.12,2.75,3.5,2.75,2.25,1.88,2.75,3.25,3.38,2.88,1.38,1.62,1.75,3.0,2.0,1.88,3.88,1.0,1.25,3.12,3.12,3.75,2.88,2.88,1.75,3.12,1.0,3.5
13-2022,Appraisers of Personal and Business Property,3.12,3.38,3.0,2.75,3.62,1.12,1.0,1.0,2.25,3.0,2.5,1.88,2.0,2.12,2.88,2.88,2.88,1.25,1.5,1.88,2.88,1.62,2.12,3.88,1.12,1.38,2.88,2.88,3.38,2.5,2.5,1.25,3.0,1.62,3.5
13-2023,Appraisers and Assessors of Real Estate,2.75,3.5,3.12,2.88,3.5,1.12,1.12,1.0,2.5,3.0,2.38,1.62,1.62,2.0,2.62,2.88,2.62,1.88,1.75,1.88,2.75,1.62,2.12,3.62,1.12,1.12,2.75,2.75,3.38,2.5,2.5,1.38,2.75,1.62,3.38
13-2031,Budget Analysts,3.25,3.75,3.75,2.88,3.88,1.0,1.0,1.0,2.62,3.75,2.5,3.38,2.0,2.38,3.88,3.12,2.62,1.0,2.25,1.88,2.62,1.75,1.12,3.75,1.0,1.25,2.5,3.0,3.75,3.12,3.0,1.75,3.0,1.0,3.12
13-2041,Credit Analysts,3.62,3.5,3.0,2.62,3.88,1.0,1.0,1.0,2.12,3.12,2.38,2.0,1.75,2.0,3.38,3.0,2.38,1.25,2.5,1.75,2.38,1.62,1.62,3.62,1.0,1.38,3.0,3.0,3.62,2.75,2.75,1.0,3.0,1.0,3.12
13-2052,Personal Financial Advisors,3.25,4.12,3.62,3.0,3.75,1.0,1.0,1.0,3.0,3.62,3.0,2.88,1.88,2.12,3.62,3.12,3.0,1.0,2.5,1.62,3.38,1.62,1.75,4.12,1.0,1.38,3.62,3.62,4.0,3.38,3.38,1.5,3.0,1.0,3.88
13-2053,Insurance Underwriters,3.12,3.75,3.12,3.0,3.75,1.0,1.0,1.0,2.75,3.5,2.75,2.0,2.0,2.38,2.88,3.0,2.75,1.0,1.88,1.88,2.88,1.5,1.12,3.75,1.0,1.38,3.0,3.0,3.62,2.75,2.75,1.62,2.88,1.0,3.75
13-2061,Financial Examiners,3.62,4.0,3.88,3.62,4.12,1.0,1.0,1.0,3.38,3.88,3.38,1.75,1.62,3.5,3.62,3.88,2.88,1.25,2.88,1.75,2.88,1.62,2.0,4.12,1.0,1.25,3.0,3.62,4.0,3.62,3.62,1.38,3.5,1.0,4.0
13-2071,Credit Counselors,3.62,3.88,3.5,3.12,3.75,1.0,1.0,1.0,2.88,3.5,3.12,1.62,1.12,2.12,3.12,3.0,3.25,1.0,1.88,1.0,3.38,1.5,1.25,3.88,1.0,1.0,3.62,3.12,4.0,2.88,3.0,1.75,3.12,1.0,3.75
13-2072,Loan Officers,3.12,4.0,3.25,2.88,3.75,1.0,1.0,1.0,2.88,3.88,2.75,2.12,2.0,2.62,3.25,2.88,2.88,1.25,1.75,1.88,2.88,1.62,1.5,3.88,1.0,1.0,3.0,3.25,4.0,2.62,2.25,1.88,3.12,1.0,3.38
13-2081,Tax Examiners and Collectors — and Revenue Agents,3.25,4.0,3.0,3.0,3.88,1.0,1.0,1.12,2.88,3.12,2.88,1.88,1.62,2.25,3.25,3.25,3.0,1.38,1.75,1.75,2.88,1.62,2.0,4.0,1.0,1.0,2.88,3.0,4.0,2.5,2.5,1.5,3.0,1.0,3.25
13-2082,Tax Preparers,3.12,3.88,2.88,2.75,3.5,1.0,1.0,1.0,2.75,3.0,2.75,1.75,1.5,2.0,3.0,3.0,2.5,1.0,1.75,1.12,2.62,1.5,1.62,4.0,1.0,1.0,3.0,2.88,3.12,2.38,2.0,1.38,3.12,1.0,3.0
13-2099,Financial Quantitative Analysts,3.75,3.935,3.94,3.31,4.0600000000000005,1.0,1.0,1.0,3.0,3.815,2.94,2.44,2.0,2.81,3.69,3.06,3.0,1.31,1.625,1.94,3.185,2.185,1.375,4.0,1.0,1.44,2.94,3.19,3.875,3.0,2.935,1.63,3.06,1.06,3.81
15-1211,Computer Systems Analysts,3.685,3.875,3.75,3.31,3.875,1.44,2.0,1.5,3.13,3.75,3.435,2.12,2.0,3.0,3.0,3.5,2.75,2.06,2.875,2.75,2.875,3.065,2.875,4.13,1.44,2.185,3.06,3.12,4.0,3.75,3.75,2.815,3.25,2.62,3.69
15-1212,Information Security Analysts,3.25,3.75,3.75,3.0,3.88,1.62,1.75,1.5,2.88,3.38,2.88,1.75,1.75,2.88,2.25,3.38,2.62,1.75,2.5,3.0,2.62,2.62,3.0,4.0,1.62,1.88,2.88,2.75,3.62,3.38,3.0,2.12,3.12,2.12,3.5
15-1221,Computer and Information Research Scientists,3.5,3.75,4.0,3.0,4.0,1.12,1.88,1.0,3.0,4.0,3.0,2.5,2.25,2.88,3.38,3.12,2.5,2.0,3.12,2.62,2.75,3.62,2.38,3.75,1.12,3.12,2.75,3.0,3.5,3.75,3.62,3.12,3.38,2.38,3.38
15-1231,Computer Network Support Specialists,3.25,3.5,3.25,2.75,3.75,2.62,2.5,2.75,2.62,3.38,2.62,1.5,2.0,2.25,2.12,3.25,2.25,2.0,1.88,3.0,2.25,2.25,2.88,3.38,2.88,1.88,2.5,2.88,3.25,3.12,3.0,2.12,3.0,3.12,3.0
15-1232,Computer User Support Specialists,3.12,4.0,3.62,2.88,3.75,2.12,1.88,2.25,3.0,3.25,3.12,1.62,1.88,2.38,2.25,3.12,2.38,2.88,2.38,3.0,2.62,2.25,2.88,4.0,2.12,1.75,3.12,3.12,4.0,3.0,2.88,2.0,3.0,3.0,3.5
15-1241,Computer Network Architects,3.315,3.685,3.5,3.25,3.87,2.5,2.56,1.935,2.875,3.435,2.94,2.375,2.38,2.685,3.0,3.12,2.875,2.37,2.565,3.06,3.0,3.13,3.125,3.81,2.31,2.0,3.0,3.06,3.375,3.435,3.5,2.87,3.06,2.88,3.435
15-1242,Database Administrators,3.5,3.75,3.88,3.0,3.88,1.0,1.5,1.38,3.0,3.75,3.0,1.75,1.88,2.75,3.0,3.25,2.0,1.5,3.12,2.75,2.62,3.38,2.5,3.75,1.12,2.0,2.88,2.88,3.38,3.12,3.12,2.38,2.88,2.5,3.25
15-1243,Database Architects,3.125,3.5,3.75,3.06,3.88,1.12,1.56,1.31,2.75,3.63,2.75,1.875,1.94,2.31,3.0,3.0,2.62,1.815,2.935,2.31,2.815,3.565,2.19,3.88,1.12,1.88,2.81,3.0,3.44,3.625,3.25,2.81,2.94,1.75,3.185
15-1244,Network and Computer Systems Administrators,3.12,3.75,3.75,3.0,3.88,3.0,2.88,2.38,2.88,3.88,2.75,2.0,2.75,3.0,3.0,3.75,2.5,3.0,3.12,3.38,2.75,3.62,3.25,3.88,3.0,2.25,3.0,3.0,3.38,3.88,3.75,2.75,3.12,3.75,3.12
15-1251,Computer Programmers,3.12,3.75,3.75,3.0,3.75,1.0,1.0,1.25,2.5,3.25,2.38,2.0,2.0,2.62,3.12,3.0,2.12,1.12,3.12,2.25,2.62,4.75,3.5,3.38,1.0,2.75,2.25,3.12,3.12,3.38,3.12,2.75,3.12,2.25,3.25
15-1252,Software Developers,3.5,3.38,3.38,3.0,3.88,1.25,2.12,1.88,2.88,3.62,2.62,1.75,1.62,2.25,2.75,3.0,2.62,2.0,3.25,2.75,2.75,4.0,2.75,3.5,1.12,2.12,2.88,2.88,3.12,3.5,3.38,3.38,3.12,2.62,3.25
15-1253,Software Quality Assurance Analysts and Testers,3.12,3.88,3.38,3.0,3.88,1.0,1.75,2.0,2.62,3.12,2.88,1.5,1.5,2.12,2.75,3.62,2.12,1.88,3.12,3.0,2.5,3.62,3.38,4.0,1.12,2.75,2.5,2.88,3.88,3.12,3.25,2.62,3.0,2.88,3.75
15-1254,Web Developers,3.5,3.5,3.62,3.0,3.75,1.0,2.0,1.25,2.75,3.38,2.88,1.75,1.75,2.38,2.75,3.0,2.75,1.62,3.62,2.25,2.88,4.12,2.75,3.62,1.0,2.0,2.88,2.88,3.25,3.12,3.0,2.5,3.0,2.12,3.12
15-1255,Video Game Designers,3.5,3.88,3.62,3.12,3.75,1.0,1.12,1.12,2.88,3.62,2.88,1.88,1.88,2.75,2.88,3.12,3.0,1.0,3.0,2.25,3.0,4.0,2.0,3.75,1.0,1.38,2.75,3.0,3.12,3.38,3.25,3.0,3.38,1.12,3.25
